0, 51
1, 50
2, 49
3, 48
4, 47
5, 46
6, 45
7, 44
8, 43
9, 42
10, 41
11, 40
12, 39
13, 38
14, 37
15, 36
16, 35
17, 34
18, 33
19, 32
20, 31
21, 30
22, 29
23, 28
24, 27
25, 26
26, 25
27, 24
28, 23
29, 22
30, 21
31, 20
32, 19
33, 18
34, 17
35, 16
36, 15
37, 14
38, 13
39, 12
40, 11
41, 10
42, 9
43, 8
44, 7
45, 6
46, 5
47, 4
48, 3
49, 2
50, 1
51, 0
52, 127
53, 126
54, 125
55, 124
56, 123
57, 122
58, 121
59, 120
60, 119
61, 118
62, 117
63, 116
64, 115
65, 114
66, 113
67, 112
68, 111
69, 110
70, 109
71, 108
72, 107
73, 106
74, 105
75, 104
76, 103
77, 102
78, 101
79, 100
80, 99
81, 98
82, 97
83, 96
84, 95
85, 94
86, 93
87, 92
88, 91
89, 90
90, 89
91, 88
92, 87
93, 86
94, 85
95, 84
96, 83
97, 82
98, 81
99, 80
100, 79
101, 78
102, 77
103, 76
104, 75
105, 74
106, 73
107, 72
108, 71
109, 70
110, 69
111, 68
112, 67
113, 66
114, 65
115, 64
116, 63
117, 62
118, 61
119, 60
120, 59
121, 58
122, 57
123, 56
124, 55
125, 54
126, 53
127, 52

